The Passphrase Is Strong With This One
A Star Wars-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM's starwars.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 aided
1-1-2 child
19-4-4 aspiring
19-4-5 stop
19-4-6 incompetence
19-4-7 await
19-4-8 collection
19-4-9 united
19-4-10 urges
19-4-11 ties
19-4-12 improvises
19-4-13 realized
19-4-14 introduced
19-4-15 democracy
19-4-16 light
19-4-17 counter
19-4-18 lines
19-4-19 interrupted
19-4-20 element
19-5-1 prays
19-5-2 re-open
19-5-3 baze
19-5-4 realizes
19-5-5 allow
19-5-6 furious
19-5-7 subsequently
19-5-8 tactical
19-5-9 fastest
19-5-10 ignite
19-5-11 holds
19-5-12 producer
19-5-13 tribe
19-5-14 astronomical
19-5-15 move
19-5-16 breha
19-5-17 perturbed
19-5-18 whilst
19-5-19 alliance
19-5-20 including
19-6-1 looks
19-6-2 mentioned
19-6-3 interpreter
19-6-4 interceptor
19-6-5 onboard
19-6-6 galaxy
19-6-7 superior
19-6-8 outer
19-6-9 bazine
19-6-10 chosen
19-6-11 broom
19-6-12 glee
19-6-13 ships
19-6-14 banquet
19-6-15 meantime
19-6-16 willing
19-6-17 youngster
19-6-18 inspecting
19-6-19 covered
19-6-20 criminal
19-7-1 crash
19-7-2 animal
19-7-3 belch
19-7-4 undoing
19-7-5 dak
19-7-6 mention
19-7-7 spikes
19-7-8 ksour
19-7-9 kiss
19-7-10 hands
19-7-11 front
19-7-12 insisting
19-7-13 crash-lands
19-7-14 flee
19-7-15 wampa
19-7-16 successor
19-7-17 masters
19-7-18 speaks
19-7-19 lightmaker
19-7-20 edit
19-8-1 warned
19-8-2 ackbar
19-8-3 begs
19-8-4 merge
19-8-5 transmitted
19-8-6 trap
19-8-7 truth
19-8-8 repulses
19-8-9 accompanied
19-8-10 beneath
19-8-11 tray
19-8-12 legions
19-8-13 studios
19-8-14 activate
19-8-15 dreaming
19-8-16 cleaving
19-8-17 society
19-8-18 books
19-8-19 thirteen
19-8-20 firepower
19-9-1 our
19-9-2 code
19-9-3 tenth
19-9-4 special
19-9-5 out
19-9-6 secretly
19-9-7 rey
19-9-8 armor
19-9-9 announces
19-9-10 defend
19-9-11 crash-land
19-9-12 carbonization
19-9-13 chaos
19-9-14 herded
19-9-15 raymus
19-9-16 upset
19-9-17 appeals
19-9-18 mate
19-9-19 ren
19-9-20 evacuation
19-10-1 herder
19-10-2 intervention
19-10-3 stun
19-10-4 dive
19-10-5 despairing
19-10-6 shut
19-10-7 cloud-riders
19-10-8 approached
19-10-9 retrieved
19-10-10 reacts
19-10-11 maintains
19-10-12 galaxies
19-10-13 promptly
19-10-14 prodded
19-10-15 approaches
19-10-16 surely
19-10-17 fathier
19-10-18 starfighters
19-10-19 tempt
19-10-20 cadera
19-11-1 afterward
19-11-2 legends
19-11-3 comrade
19-11-4 overtake
19-11-5 organic
19-11-6 her
19-11-7 mesmerized
19-11-8 boarded
19-11-9 could
19-11-10 scars
19-11-11 keep
19-11-12 conversation
19-11-13 shred
19-11-14 removing
19-11-15 retain
19-11-16 rumored
19-11-17 relays
19-11-18 mad
19-11-19 infantryman
19-11-20 distracted
19-12-1 escorts
19-12-2 succeeds
19-12-3 yells
19-12-4 scene
19-12-5 reaches
19-12-6 echo
19-12-7 facility
19-12-8 chewie
19-12-9 trenches
19-12-10 reached
19-12-11 imperial
19-12-12 geonosian
19-12-13 rushes
19-12-14 ancient
19-12-15 swept
19-12-16 ordering
19-12-17 unknown
19-12-18 demonstration
19-12-19 chased
19-12-20 system
19-13-1 adopted
19-13-2 retreats
19-13-3 their
19-13-4 attack
19-13-5 intelligence
19-13-6 pamlo
19-13-7 chases
19-13-8 final
19-13-9 futile
19-13-10 accompany
19-13-11 gear
19-13-12 academy
19-13-13 completed
19-13-14 exactly
19-13-15 bombers
19-13-16 manifestation
19-13-17 herself
19-13-18 commence
19-13-19 badlands
19-13-20 loved
19-14-1 colleagues
19-14-2 ben
19-14-3 slack
19-14-4 split
19-14-5 reacted
19-14-6 screeching
19-14-7 claim
19-14-8 orchestrated
19-14-9 loves
19-14-10 lover
19-14-11 negatively
19-14-12 amidala
19-14-13 torrent
19-14-14 false
19-14-15 thwarted
19-14-16 neutralize
19-14-17 felucia
19-14-18 seville
19-14-19 tide
19-14-20 case
19-15-1 alerted
19-15-2 suns
19-15-3 defending
19-15-4 have
19-15-5 chambers
19-15-6 need
19-15-7 apparently
19-15-8 biggs
19-15-9 afraid
19-15-10 angle
19-15-11 inform
19-15-12 pursued
19-15-13 confesses
19-15-14 enough
19-15-15 able
19-15-16 gravity
19-15-17 battles
19-15-18 gunner
19-15-19 demolished
19-15-20 astride
19-16-1 which
19-16-2 stormtrooper
19-16-3 battled
19-16-4 competence
19-16-5 medals
19-16-6 lectures
19-16-7 unless
19-16-8 combat
19-16-9 knees
19-16-10 who
19-16-11 procure
19-16-12 intentions
19-16-13 connected
19-16-14 demise
19-16-15 device
19-16-16 why
19-16-17 clasp
19-16-18 so-called
19-16-19 deny
19-16-20 gullet
19-17-1 ignites
19-17-2 warrick
19-17-3 ensues
19-17-4 request
19-17-5 disengages
19-17-6 face
19-17-7 surrender
19-17-8 ignited
19-17-9 tambor
19-17-10 rendezvous
19-17-11 wounded
19-17-12 fact
19-17-13 violation
19-17-14 telepathically
19-17-15 agreed
19-17-16 automated
19-17-17 overwhelmed
19-17-18 bring
19-17-19 traitor
19-17-20 soldiers
19-18-1 fear
19-18-2 agrees
19-18-3 staff
19-18-4 taps
19-18-5 filmed
19-18-6 knowledge
19-18-7 comfort
19-18-8 halves
19-18-9 jar
19-18-10 hyperspace
19-18-11 should
19-18-12 jan
19-18-13 rendering
19-18-14 indeed
19-18-15 fuel
19-18-16 riding
19-18-17 dooku
19-18-18 thousands
19-18-19 hope
19-18-20 meant
19-19-1 topple
19-19-2 watching
19-19-3 mainly
19-19-4 photography
19-19-5 massacre
19-19-6 comlink
19-19-7 vehicles
19-19-8 beam
19-19-9 stars
19-19-10 joins
19-19-11 penetrate
19-19-12 argues
19-19-13 defenseless
19-19-14 unauthorized
19-19-15 ended
19-19-16 encounters
19-19-17 kessel
19-19-18 calling
19-19-19 she
19-19-20 describes
19-20-1 cells
19-20-2 view
19-20-3 spotted
19-20-4 incinerates
19-20-5 accuses
19-20-6 terrain
19-20-7 packet
19-20-8 freeze
19-20-9 intensity
19-20-10 computer
19-20-11 reinforcements
19-20-12 dissipate
19-20-13 desperate
19-20-14 converting
19-20-15 sleeping
19-20-16 sanity
19-20-17 waterworld
19-20-18 creating
19-20-19 closer
19-20-20 closes
20-1-1 wire
20-1-2 accusations
20-1-3 destiny
20-1-4 attempting
20-1-5 partisan
20-1-6 monstrous
20-1-7 marshy
20-1-8 favor
20-1-9 state
20-1-10 convince
20-1-11 taunting
20-1-12 deactivates
20-1-13 carkoon
20-1-14 neither
20-1-15 pistol
20-1-16 frustrated
20-1-17 sold
20-1-18 bought
20-1-19 ends
20-1-20 ability
20-2-1 opening
20-2-2 hutt
20-2-3 gunships
20-2-4 deliver
20-2-5 regretful
20-2-6 tobias
20-2-7 fisto
20-2-8 antechamber
20-2-9 probing
20-2-10 approval
20-2-11 swift
20-2-12 jon
20-2-13 staring
20-2-14 commands
20-2-15 vaneé
20-2-16 taking
20-2-17 ramp
20-2-18 devastator
20-2-19 powerless
20-2-20 admit
20-3-1 figures
20-3-2 netal
20-3-3 volley
20-3-4 safely
20-3-5 invites
20-3-6 intending
20-3-7 withdraws
20-3-8 vent
20-3-9 torn
20-3-10 mimban
20-3-11 extent
20-3-12 ambushed
20-3-13 harpoons
20-3-14 venator-class
20-3-15 upfront
20-3-16 high
20-3-17 ambushes
20-3-18 invisible
20-3-19 laugh
20-3-20 deflected
20-4-1 confronts
20-4-2 beach
20-4-3 nomination
20-4-4 lies
20-4-5 mourning
20-4-6 kenobi
20-4-7 powered
20-4-8 hunters
20-4-9 immortality
20-4-10 responds
20-4-11 apologize
20-4-12 thieves
20-4-13 slowly
20-4-14 enforcer
20-4-15 waste
20-4-16 troopers
20-4-17 choose
20-4-18 senses
20-4-19 finishes
20-4-20 stationed
20-5-1 adjourns
20-5-2 route
20-5-3 interrupts
20-5-4 thrusting
20-5-5 essentially
20-5-6 finished
20-5-7 ensuring
20-5-8 rock-carved
20-5-9 cellblock
20-5-10 smoking
20-5-11 fellow
20-5-12 spain
20-5-13 volunteer
20-5-14 troubled
20-5-15 atmospheric
20-5-16 wily
20-5-17 unlike
20-5-18 fearful
20-5-19 plain
20-5-20 triggers
20-6-1 will
20-6-2 oung
20-6-3 hovering
20-6-4 scatter
20-6-5 wild
20-6-6 asperations
20-6-7 at-at
20-6-8 instantly
20-6-9 maul
20-6-10 piloting
20-6-11 sith
20-6-12 noticed
20-6-13 almost
20-6-14 insanely
20-6-15 thus
20-6-16 site
20-6-17 surface
20-6-18 adventures
20-6-19 helped
20-6-20 draining
20-7-1 dryden
20-7-2 gunship
20-7-3 partner
20-7-4 sits
20-7-5 greater
20-7-6 orbital
20-7-7 capture
20-7-8 denial
20-7-9 sympathizer
20-7-10 little
20-7-11 began
20-7-12 member
20-7-13 guns
20-7-14 parts
20-7-15 rebo
20-7-16 tumbles
20-7-17 shuttle
20-7-18 party
20-7-19 gets
20-7-20 difficult
20-8-1 injured
20-8-2 tighten
20-8-3 ball
20-8-4 slave
20-8-5 vander
20-8-6 abyss
20-8-7 eccentric
20-8-8 reporting
20-8-9 upon
20-8-10 beast
20-8-11 ion
20-8-12 stasis-pod
20-8-13 sagged
20-8-14 student
20-8-15 injures
20-8-16 fierce
20-8-17 judgment
20-8-18 identity
20-8-19 destruction
20-8-20 insure
20-9-1 binks
20-9-2 off
20-9-3 center
20-9-4 nevertheless
20-9-5 disappears
20-9-6 weapon
20-9-7 arrival
20-9-8 fighting
20-9-9 bohdi
20-9-10 thought
20-9-11 cutting
20-9-12 command
20-9-13 personnel
20-9-14 sets
20-9-15 position
20-9-16 wreckage
20-9-17 sensing
20-9-18 drawing
20-9-19 excruciating
20-9-20 restore
20-10-1 newest
20-10-2 heavily
20-10-3 moments
20-10-4 gyrations
20-10-5 quarterstaff
20-10-6 wealthy
20-10-7 obtain
20-10-8 mistaken
20-10-9 cries
20-10-10 mistakes
20-10-11 distant
20-10-12 protecting
20-10-13 dais
20-10-14 mysterious
20-10-15 ushered
20-10-16 disturbance
20-10-17 console
20-10-18 pursues
20-10-19 drive
20-10-20 sky
20-11-1 lake
20-11-2 day
20-11-3 wes
20-11-4 arrest
20-11-5 add
20-11-6 lured
20-11-7 silently
20-11-8 villagers
20-11-9 unprecedented
20-11-10 match
20-11-11 fate
20-11-12 disappearance
20-11-13 masquerade
20-11-14 mitaka
20-11-15 crushed
20-11-16 livid
20-11-17 increases
20-11-18 whatever
20-11-19 resolves
20-11-20 immediately
20-12-1 tico
20-12-2 loss
20-12-3 trash
20-12-4 necessary
20-12-5 like
20-12-6 lost
20-12-7 ring
20-12-8 ewoks
20-12-9 loses
20-12-10 snootles
20-12-11 hosts
20-12-12 lose
20-12-13 become
20-12-14 works
20-12-15 replacement
20-12-16 now-frozen
20-12-17 traitors
20-12-18 because
20-12-19 sleight
20-12-20 scared
20-13-1 village
20-13-2 searching
20-13-3 alive
20-13-4 self
20-13-5 platforms
20-13-6 infiltrated
20-13-7 proper
20-13-8 home
20-13-9 empire
20-13-10 blade
20-13-11 mother
20-13-12 transport
20-13-13 happens
20-13-14 throughout
20-13-15 lead
20-13-16 literally
20-13-17 avoid
20-13-18 mines
20-13-19 pendant
20-13-20 staccato
20-14-1 does
20-14-2 passion
20-14-3 bustling
20-14-4 naboo
20-14-5 speak
20-14-6 duels
20-14-7 leader
20-14-8 locate
20-14-9 ozzel
20-14-10 reaching
20-14-11 chokes
20-14-12 hurls
20-14-13 lieutenant
20-14-14 murdered
20-14-15 speeders
20-14-16 although
20-14-17 infiltrating
20-14-18 stows
20-14-19 slug
20-14-20 hiding
20-15-1 throne
20-15-2 about
20-15-3 actual
20-15-4 carried
20-15-5 getting
20-15-6 freedom
20-15-7 duo
20-15-8 introduces
20-15-9 likely
20-15-10 carries
20-15-11 sweat
20-15-12 moff
20-15-13 recognizes
20-15-14 emperor
20-15-15 heroics
20-15-16 cadet
20-15-17 own
20-15-18 previously
20-15-19 submits
20-15-20 assess
20-16-1 awakes
20-16-2 guard
20-16-3 promise
20-16-4 brush
20-16-5 nower
20-16-6 philiosophy
20-16-7 uncontrollably
20-16-8 placed
20-16-9 additional
20-16-10 beacon
20-16-11 transfer
20-16-12 housing
20-16-13 cantina
20-16-14 spots
20-16-15 captains
20-16-16 appo
20-16-17 i-class
20-16-18 luminara
20-16-19 tracker
20-16-20 resists
20-17-1 notices
20-17-2 cliff
20-17-3 function
20-17-4 buy
20-17-5 electrostaff
20-17-6 but
20-17-7 blaming
20-17-8 reminds
20-17-9 tasked
20-17-10 construction
20-17-11 gain
20-17-12 aayla
20-17-13 grate
20-17-14 delivers
20-17-15 activating
20-17-16 partially
20-17-17 count
20-17-18 made
20-17-19 wise
20-17-20 places
20-18-1 chained
20-18-2 whether
20-18-3 dangerous
20-18-4 gravitational
20-18-5 backfires
20-18-6 distract
20-18-7 corpses
20-18-8 record
20-18-9 below
20-18-10 converted
20-18-11 padmé
20-18-12 demonstrate
20-18-13 problem
20-18-14 piece
20-18-15 supreme
20-18-16 rieekan
20-18-17 deaths
20-18-18 stuck-up
20-18-19 received
20-18-20 kisses
20-19-1 enlists
20-19-2 gamorrean
20-19-3 consumed
20-19-4 seduces
20-19-5 ki-adi-mundi
20-19-6 partly
20-19-7 mysteriously
20-19-8 pit
20-19-9 proceeds
20-19-10 jukassa
20-19-11 balcony
20-19-12 planting
20-19-13 rumors
20-19-14 nonetheless
20-19-15 deadly
20-19-16 gray-hulled
20-19-17 claiming
20-19-18 forests
20-19-19 lately
20-19-20 smears
20-20-1 other
20-20-2 guarantee
20-20-3 witness
20-20-4 welcomes
20-20-5 reckless
20-20-6 disposing
20-20-7 lance
20-20-8 junk
20-20-9 star
20-20-10 living
20-20-11 class
20-20-12 june
20-20-13 sustains
20-20-14 stay
20-20-15 chance
20-20-16 medenine
20-20-17 else
20-20-18 friends
20-20-19 exposure
20-20-20 ghost
